#{"t_start": 1614187358.8486652, "env_id": "dVRLReach-v0"}
r,l,t,is_success
-3.0,30,842.500203,1.0
-30.0,30,843.612839,0.0
-7.0,30,844.732855,1.0
-10.0,30,845.890486,1.0
-7.0,30,846.987726,1.0
-13.0,30,848.073451,1.0
-5.0,30,849.187054,1.0
-30.0,30,850.275519,0.0
-30.0,30,851.370665,0.0
-30.0,30,852.476132,0.0
-3.0,30,853.575821,1.0
-8.0,30,854.678134,1.0
-30.0,30,855.775592,0.0
-30.0,30,856.878899,0.0
-10.0,30,858.020614,1.0
-30.0,30,859.11522,0.0
-30.0,30,860.212281,0.0
-30.0,30,861.303675,0.0
-6.0,30,862.394408,1.0
-8.0,30,863.521685,1.0
-9.0,30,864.679206,1.0
-30.0,30,865.80306,0.0
-30.0,30,866.895122,0.0
-10.0,30,867.971662,1.0
-7.0,30,869.062547,1.0
-9.0,30,870.148399,1.0
-30.0,30,871.21676,0.0
-30.0,30,872.313207,0.0
-30.0,30,873.379057,0.0
-30.0,30,874.446852,0.0
-10.0,30,875.516088,1.0
-30.0,30,876.614569,0.0
-30.0,30,877.789837,0.0
-6.0,30,878.860759,1.0
-30.0,30,879.933984,0.0
-30.0,30,881.013104,0.0
-8.0,30,882.080759,1.0
-30.0,30,883.157626,0.0
-30.0,30,884.236415,0.0
-30.0,30,885.294558,0.0
-8.0,30,886.366403,1.0
-7.0,30,887.438215,1.0
-9.0,30,888.558155,1.0
-30.0,30,889.638865,0.0
-7.0,30,890.723677,1.0
-9.0,30,891.816648,1.0
-30.0,30,892.886114,0.0
-6.0,30,893.98352,1.0
-30.0,30,895.079652,0.0
-8.0,30,896.211738,1.0
-10.0,30,897.295884,1.0
-9.0,30,898.358734,1.0
-30.0,30,899.422231,0.0
-11.0,30,900.525711,1.0
-5.0,30,901.610455,1.0
-25.0,30,902.703956,0.0
-30.0,30,903.772155,0.0
-5.0,30,904.84857,1.0
-7.0,30,905.938865,1.0
-7.0,30,907.064941,1.0
-30.0,30,908.134368,0.0
-11.0,30,909.233569,1.0
-30.0,30,910.327129,0.0
-30.0,30,911.423478,0.0
-30.0,30,912.497984,0.0
-30.0,30,913.563372,0.0
-4.0,30,914.626158,1.0
-30.0,30,915.694944,0.0
-10.0,30,916.794007,1.0
-8.0,30,917.885074,1.0
-30.0,30,918.957007,0.0
-7.0,30,920.027684,1.0
-7.0,30,921.097635,1.0
-30.0,30,922.171835,0.0
-30.0,30,923.236661,0.0
-30.0,30,924.318485,0.0
-30.0,30,925.41383,0.0
-13.0,30,926.507607,1.0
-6.0,30,927.578649,1.0
-30.0,30,928.651099,0.0
-30.0,30,929.760461,0.0
-30.0,30,930.840144,0.0
-30.0,30,931.916707,0.0
-30.0,30,932.984914,0.0
-30.0,30,934.063361,0.0
-30.0,30,935.154939,0.0
-30.0,30,936.233509,0.0
-10.0,30,937.30393,1.0
-30.0,30,938.382307,0.0
-9.0,30,939.467884,1.0
-30.0,30,940.544717,0.0
-5.0,30,941.619936,1.0
-30.0,30,942.688353,0.0
-30.0,30,943.766615,0.0
-8.0,30,944.837672,1.0
-30.0,30,945.901531,0.0
-13.0,30,946.996249,1.0
-12.0,30,948.096347,1.0
-7.0,30,949.168466,1.0
-7.0,30,950.295893,1.0
